id,user_id,group,visit_date,device,page_views,time_spent,total_amount,session_id
76,2119d8f7-8a3a-44cc-98e6-7fa3c6caf8e4,B,2025-02-21,Desktop,8,83,1,802e52ec-4dbe-4492-9e4b-b0330d937d85
77,56e9c0b7-5eff-4a16-8989-4bc20df6e406,B,2025-02-21,Mobile,1,0,0,9279de2e-c37b-4e01-85ab-43f198c6dd56
83,7f9fe70a-0c51-410c-b142-e5411e665210,B,2025-02-21,Desktop,7,296,0,dd1f8bcb-e866-4f02-8243-c6632e52b859
88,e1fcd68a-27ed-41ef-9c9a-1805efab9ecc,B,2025-02-22,Desktop,10,102,0,7a76dcea-749d-4f38-ae05-5122746f6897
110,7f9fe70a-0c51-410c-b142-e5411e665210,B,2025-02-24,Desktop,13,116,0,b4241b49-6556-407f-a637-76d31f8c4e9a
81,5603e643-3823-4f2e-88dd-f3d1fafbc48a,B,2025-02-21,Desktop,14,110,0,bace87ce-02f9-435b-af29-65f3a0a647f9
69,4ca1b1e1-ebf1-4845-bf40-a2fda3e05972,B,2025-02-21,Desktop,26,552,3,3858f659-27e8-4859-857a-06defe545935
89,49900668-c2b2-4c0a-a175-a2007a6ae6aa,B,2025-02-22,Desktop,10,148,1,895251d8-d29f-4bf2-b97b-ec2092da5b5a
102,c3188202-5937-4e30-b1b1-8ad291f11935,B,2025-02-24,Desktop,14,131,1,3686469a-fb60-43ed-ba38-dd3c3a4207f1
96,5017004d-0ec0-4713-919c-e4937ba25242,B,2025-02-23,Desktop,9,82,0,f6a2e2df-0ea1-4219-849a-b55c8d683642
86,eb9319a3-c11b-4272-9702-145d39d20789,B,2025-02-22,Desktop,14,4455,0,76a7373b-8eb2-4b98-9b64-1366dafb3708
99,ecbe2355-cae8-467d-a263-53d725556f8d,B,2025-02-24,Desktop,2,234,0,9ff4a0bb-6a71-4211-bbeb-530e8287be65
82,01130e62-4889-4aef-b79f-739816f33f3b,B,2025-02-21,Desktop,10,111,0,c2435e94-ed8c-4a5a-8f52-a22f71e872e8
92,7f9fe70a-0c51-410c-b142-e5411e665210,B,2025-02-22,Desktop,18,126,0,ba8598e0-d108-4b44-9d86-09a5e98ac3b6
70,e3776879-fc7e-48b7-9300-78c98e9ab324,B,2025-02-21,Desktop,1,0,0,b8750dcd-d19b-4ec8-a967-b7d3b9c58f7d
71,4a79131d-2c1a-474f-9f05-7e8e17c8d7ab,B,2025-02-21,Mobile,1,0,0,ba087c34-cc4c-4db8-90d6-9574de11c366
87,5017004d-0ec0-4713-919c-e4937ba25242,B,2025-02-22,Desktop,16,107,0,d203239f-4c41-4368-95eb-982cbb0f309e
72,7041bea8-5cb2-422e-8b52-3fa8a9110125,B,2025-02-21,Mobile,3,7,0,ffd84f60-a818-4e4a-8c39-8b72d4b02079
78,e6419673-bc17-452f-9256-8792472a567b,B,2025-02-21,Desktop,25,73,0,fc1e1103-de15-47c9-967a-a510b26ef3dc
90,3d91e908-2346-4108-9be1-e5a581199485,B,2025-02-22,Desktop,9,21,1,28d41bc4-f16d-4f4f-aef2-a09c01e31420
79,39bb5a57-77f6-4e46-aba3-aa432bef2b4a,B,2025-02-21,Mobile,2,16,0,9d53c9d9-bcd1-44c4-8169-973daa3e34bd
85,5017004d-0ec0-4713-919c-e4937ba25242,B,2025-02-21,Desktop,17,108,1,b6286862-e467-49d0-8a79-f38291119381
74,6ad76290-41b8-42ba-8c5b-7a2d52e6108e,B,2025-02-21,Mobile,6,37,0,5e595ff4-85d2-4c34-ad71-249ae6859808
80,930e09cb-ffb6-4296-ad51-d3708d471be1,B,2025-02-21,Mobile,4,20,0,01d2975f-4682-4394-a80e-d9fff2cd9f15
