id,user_id,group,visit_date,device,page_views,time_spent,total_amount,session_id
11,94cbf725-c9ce-478e-bc2e-a34ab5fc16d6,A,2025-02-21,Desktop,7,231,1,9a9e8be2-9416-419f-bfc2-619701e5bd78
1,1584f20d-937d-4c92-bdcc-bc550e676560,A,2025-02-21,Desktop,5,84,0,01fb1c37-5637-464a-97a9-b3afe3ba38ed
2,89fa996e-7514-49a5-8b43-f30ca7d1f45a,A,2025-02-21,Desktop,1,0,0,1db1dcd5-84f9-4477-8d9e-e0d00eb40f3a
3,7e816abf-d7aa-45e4-89d8-048722ca1ed9,A,2025-02-21,Mobile,1,0,0,2d3d3089-3608-4b05-9497-615ec4a48f68
4,3914d1c7-514e-4465-aa0f-243c49da384e,A,2025-02-21,Mobile,2,10,0,e38f9c89-6ddc-4381-863a-7f1e37bd5b6c
5,0c264ed8-38c6-4dcb-b033-a883c6ca376a,A,2025-02-21,Mobile,1,0,0,81da8de6-f73b-4094-abbb-db93568fd913
6,aeab92b5-36ad-44bc-a7a4-52ee179ecef3,A,2025-02-21,Mobile,1,0,0,e282296e-6847-450d-88f0-1ceb3e9dca77
7,5d3b3b06-8469-443a-9040-f5a3f7488204,A,2025-02-21,Mobile,1,0,0,cc289096-052c-4cd8-9f0e-f7fb4e15d4f9
12,27968115-22c8-4e74-a573-a350535f5e98,A,2025-02-22,Mobile,1,0,0,87d19454-ba4b-4336-b8f4-6652f9beb569
27,159c719c-67e6-4bda-90e1-f2f6ad40b50f,A,2025-02-25,Desktop,13,523,0,ccd42da9-ef66-4300-9570-cfa1a518727c
16,8f9897c7-3a1b-4d21-bcac-f0bd3afe14c3,A,2025-02-23,Desktop,37,367,1,d36b8a52-3bfe-4931-8330-495071dddcef
8,40a09183-09ff-47c4-856f-fee693cc2e38,A,2025-02-21,Mobile,6,27,0,e2c2d934-a1b9-4ddb-917c-0bcf3cfc48db
22,eab37f89-c750-487a-98ad-aa7e1134d77a,A,2025-02-24,Desktop,58,679,2,9a037082-6597-4481-bdc5-b5ffdf8c1ee3
23,0dafa602-58a9-44c6-82e0-7e216098165a,A,2025-02-25,Desktop,2,17,0,9ddf630f-2b19-42ee-955c-87a3538808c0
28,c987ddda-9686-4ed8-adf8-2e027739b606,A,2025-02-25,Mobile,1,0,0,3ff0edb3-9438-4acf-9653-da97ce99ea01
9,23d2c672-60f8-4bd9-acb7-18dc7aacb65f,A,2025-02-21,Desktop,9,37,0,81e09c71-c924-490c-a537-9efcf6b129f8
43,e29670fb-5aaa-4e80-a85f-e141a6898590,A,2025-03-01,Desktop,22,153,0,c0fe89fe-eab2-4726-8701-50bf2cb27276
36,0f6f1972-c739-4024-891b-606f1f80519f,A,2025-02-27,Desktop,22,309,0,0d140961-bdfb-4302-9aa6-8e9b45c0593e
33,d263ab6b-9811-4455-8a0e-ab04cf771679,A,2025-02-27,Desktop,18,2462,1,7c688a95-b3be-4737-be07-a2e1cdbcfe76
31,0f6f1972-c739-4024-891b-606f1f80519f,A,2025-02-26,Desktop,15,141,0,f81f17f0-908c-4a7f-99ce-3163b7fcc202
24,0f6f1972-c739-4024-891b-606f1f80519f,A,2025-02-25,Desktop,39,3674,0,59f3aa8c-a8d3-4cdc-945f-d11cd64770d5
25,2002376d-b8f7-4200-9202-e98d42bf0ce7,A,2025-02-25,Mobile,3,74,0,ecd95e9f-4c84-45ef-a5b3-ece69d712753
13,0f6f1972-c739-4024-891b-606f1f80519f,A,2025-02-22,Desktop,21,289,0,3b9c379f-7ff1-4866-93ec-971d1e56d2f6
14,48b3fdc2-0cf8-482b-99c7-64e10a91a846,A,2025-02-22,Mobile,2,41,0,596a802c-dcf5-4979-8cc4-7001ac42db0e
18,8f9897c7-3a1b-4d21-bcac-f0bd3afe14c3,A,2025-02-24,Desktop,5,246,1,8fb47755-ab1c-4d65-a649-5ed3018a9ba7
10,94609ff0-cf0e-44f5-86c3-ea017648198a,A,2025-02-21,Desktop,17,129,0,99269ec9-4afa-4d61-bcee-2197ea3e7e09
26,b770003d-5c62-4de4-9098-3f579025664c,A,2025-02-25,Desktop,2,90,0,04e2afe5-8a61-4cfa-bf01-18fc73f7a2c4
20,6345e392-0f6c-4ed2-af11-3255d33300ca,A,2025-02-24,Desktop,27,368,1,a9dcb030-a40b-4bc0-b4b6-fc1db9865337
19,03fa91a6-3095-4a5b-a6e2-2c915b00d1c1,A,2025-02-24,Desktop,19,775,1,135a7a58-0d22-48b2-9038-7668189713bb
30,44c6e76a-57eb-48df-9990-e141ac873ef9,A,2025-02-25,Desktop,13,273,0,8cc9fb2e-ae73-4bfa-b412-e233aabf7160
15,0f6f1972-c739-4024-891b-606f1f80519f,A,2025-02-23,Desktop,45,1055,0,f2179d59-202b-4cc6-9124-028e2528ace6
17,6f2680d3-74eb-491f-818e-cbe623050531,A,2025-02-24,Mobile,29,341,1,7ae6cf1c-9709-47f7-9947-7b4e7274c020
21,a1fc199e-06d7-44ee-8812-31642f439ec6,A,2025-02-24,Desktop,5,159,0,4277e743-5aa2-4b12-8a20-3ec9eef8fe02
45,7c347a0a-c8ec-414b-9cae-e120f6469187,A,2025-03-01,Desktop,1,0,0,7a08dffd-ec47-46bb-a085-6e703056dcdc
